Point,Type,Module,Slot,Channel,Tag,Description,Signal,Fail-Safe,Terminal,Cable,Drawing Ref
DI-00,DI,5069-IB16,2,0,Q11-AUX,Q11 MCCB auxiliary - feeder available,24 VDC,NC,X3:020,-,SCH-0201
DI-01,DI,5069-IB16,2,1,VSD-101,Drive healthy / ready,24 VDC,NC,X3:017,-,SCH-0201
DI-02,DI,5069-IB16,2,2,VSD-101,Drive running feedback,24 VDC,NO,X3:018,-,SCH-0201
DI-03,DI,5069-IB16,2,3,S101-LOR,"L-O-R selector, Local position",24 VDC,NO,X3:005,C-0102,SCH-0201
DI-04,DI,5069-IB16,2,4,S101-LOR,"L-O-R selector, Remote position",24 VDC,NO,X3:006,C-0102,SCH-0201
DI-05,DI,5069-IB16,2,5,KT101,PTC thermistor relay healthy,24 VDC,NC,X3:013,C-0103,SCH-0201
DI-06,DI,5069-IB16,2,6,B101-SEAL,Seal water flow proven,24 VDC,NC,X3:015,C-0104,SCH-0201
DI-07,DI,5069-IB16,2,7,Q12-AUX,Q12 MCCB auxiliary - feeder available,24 VDC,NC,X3:050,-,SCH-0201
DI-08,DI,5069-IB16,2,8,VSD-102,Drive healthy / ready,24 VDC,NC,X3:047,-,SCH-0201
DI-09,DI,5069-IB16,2,9,VSD-102,Drive running feedback,24 VDC,NO,X3:048,-,SCH-0201
DI-10,DI,5069-IB16,2,10,S102-LOR,"L-O-R selector, Local position",24 VDC,NO,X3:035,C-0112,SCH-0201
DI-11,DI,5069-IB16,2,11,S102-LOR,"L-O-R selector, Remote position",24 VDC,NO,X3:036,C-0112,SCH-0201
DI-12,DI,5069-IB16,2,12,KT102,PTC thermistor relay healthy,24 VDC,NC,X3:043,C-0113,SCH-0201
DI-13,DI,5069-IB16,2,13,B102-SEAL,Seal water flow proven,24 VDC,NC,X3:045,C-0114,SCH-0201
DI-14,DI,5069-IB16,2,14,-,Spare digital input,24 VDC,-,X3:031,-,SCH-0201
DI-15,DI,5069-IB16,2,15,-,Spare digital input,24 VDC,-,X3:032,-,SCH-0201
DI-16,DI,5069-IB16,3,0,Q15-AUX,MPCB auxiliary - feeder available,24 VDC,NC,X3:061,-,SCH-0201
DI-17,DI,5069-IB16,3,1,KM103,Contactor auxiliary - running (NOT the DO echo),24 VDC,NO,X3:062,-,SCH-0201
DI-18,DI,5069-IB16,3,2,S103-LOR,"L-O-R selector, Local position",24 VDC,NO,X3:063,-,SCH-0201
DI-19,DI,5069-IB16,3,3,S103-LOR,"L-O-R selector, Remote position",24 VDC,NO,X3:064,-,SCH-0201
DI-20,DI,5069-IB16,3,4,LSH-103,Sump high level float - start,24 VDC,NO,X3:065,C-0122,SCH-0201
DI-21,DI,5069-IB16,3,5,LSL-103,Sump low level float - stop,24 VDC,NC,X3:066,C-0122,SCH-0201
DI-22,DI,5069-IB16,3,6,Q16-AUX,MPCB auxiliary - feeder available,24 VDC,NC,X3:071,-,SCH-0201
DI-23,DI,5069-IB16,3,7,KM101C,Contactor auxiliary - running,24 VDC,NO,X3:072,-,SCH-0201
DI-24,DI,5069-IB16,3,8,PSL-101,Instrument air pressure low - start demand,24 VDC,NO,X3:073,C-0132,SCH-0201
DI-25,DI,5069-IB16,3,9,ZSO-101,Valve open limit switch,24 VDC,NO,X3:081,C-0142,SCH-0201
DI-26,DI,5069-IB16,3,10,ZSC-101,Valve closed limit switch,24 VDC,NO,X3:082,C-0142,SCH-0201
DI-27,DI,5069-IB16,3,11,MOV-101,Actuator fault (vendor contact),24 VDC,NC,X3:083,C-0142,SCH-0201
DI-28,DI,5069-IB16,3,12,MOV-101,Actuator in remote (vendor contact),24 VDC,NO,X3:084,C-0142,SCH-0201
DI-29,DI,5069-IB16,3,13,HVAC-01,Switchroom HVAC fault - drives ramp to min speed,24 VDC,NC,X3:091,C-0503,SCH-0201
DI-30,DI,5069-IB16,3,14,-,Spare digital input,24 VDC,-,X3:092,-,SCH-0201
DI-31,DI,5069-IB16,3,15,-,Spare digital input,24 VDC,-,X3:093,-,SCH-0201
DI-32,DI,5069-IB16,4,0,KS-01,Safety relay auxiliary - E-stop circuit healthy,24 VDC,NC,X3:101,-,SCH-0202
DI-33,DI,5069-IB16,4,1,Q1-OF,Incomer status,24 VDC,NO,X3:102,-,SCH-0202
DI-34,DI,5069-IB16,4,2,Q1-SD,Incomer trip indication (separate alarm to status),24 VDC,NO,X3:103,-,SCH-0202
DI-35,DI,5069-IB16,4,3,KVP-01,Phase failure / sequence relay healthy,24 VDC,NC,X3:104,-,SCH-0202
DI-36,DI,5069-IB16,4,4,SPD-01,Surge protective device status,24 VDC,NC,X3:105,-,SCH-0202
DI-37,DI,5069-IB16,4,5,PSU-1,24 VDC PSU 1 healthy,24 VDC,NC,X3:106,-,SCH-0202
DI-38,DI,5069-IB16,4,6,PSU-2,24 VDC PSU 2 healthy,24 VDC,NC,X3:107,-,SCH-0202
DI-39,DI,5069-IB16,4,7,UPS-01,UPS on battery - supply fail imminent,24 VDC,NO,X3:108,-,SCH-0202
DI-40,DI,5069-IB16,4,8,UPS-01,UPS internal fault,24 VDC,NO,X3:109,-,SCH-0202
DI-41,DI,5069-IB16,4,9,ECP1-6,Any 24 VDC circuit protector tripped (common),24 VDC,NC,X3:110,-,SCH-0202
DI-42,DI,5069-IB16,4,10,LSLL-101,"Wet well low-low float - HARDWIRED dry-run trip, also monitored",24 VDC,NC,X3:021,C-0210,SCH-0202
DI-43,DI,5069-IB16,4,11,LSHH-101,Wet well high-high float,24 VDC,NC,X3:111,C-0211,SCH-0202
