Ref,Group,Check,Inspection Point,Result,Comment
1.1,ENCLOSURE,Dimensions match approved GA,1 Enclosure,,
1.2,ENCLOSURE,Form of separation as specified (Form 3b),1 Enclosure,,
1.3,ENCLOSURE,"Doors align, close, latch correctly",1 Enclosure,,
1.4,ENCLOSURE,Gaskets continuous and undamaged at corners,1 Enclosure,,
1.5,ENCLOSURE,"Gland plates removable, undrilled, non-magnetic",1 Enclosure,,
1.6,ENCLOSURE,Main earth bar full length and accessible,1 Enclosure,,
1.7,ENCLOSURE,"Instrument screen bar insulated, single-point bonded",1 Enclosure,,
1.8,ENCLOSURE,"Paint finish and colour correct, no damage",1 Enclosure,,
1.9,ENCLOSURE,Lifting provisions adequate and marked,1 Enclosure,,
1.10,ENCLOSURE,Ventilation and filters as designed,1 Enclosure,,
2.1,LAYOUT,Devices match BOM part numbers - labels physically read,2 Pre-wire,,
2.2,LAYOUT,"Manufacturer clearances respected, especially around drives",2 Pre-wire,,
2.3,LAYOUT,Device orientation correct per manufacturer,2 Pre-wire,,
2.4,LAYOUT,Heat-generating devices not below heat-sensitive devices,2 Pre-wire,,
2.5,LAYOUT,Adjustable devices reachable without removing other equipment,2 Pre-wire,,
2.6,LAYOUT,Readable devices at sensible height (800-1800 mm),2 Pre-wire,,
2.7,LAYOUT,Replaceable items removable in situ,2 Pre-wire,,
2.8,LAYOUT,Voltage zone segregation maintained by layout,2 Pre-wire,,
2.9,LAYOUT,"Spare chassis space usable, not an awkward gap",2 Pre-wire,,
3.1,WIRING,Wire size and type per drawing,3 50% wire and 4 Pre-FAT,,
3.2,WIRING,Colour convention applied including ORANGE for external supplies,3 50% wire and 4 Pre-FAT,,
3.3,WIRING,"Every wire ferruled BOTH ends, numbers match drawings",3 50% wire and 4 Pre-FAT,,
3.4,WIRING,"Ferrules readable in situ, consistent orientation",3 50% wire and 4 Pre-FAT,,
3.5,WIRING,Duct fill leaves room for lid and future additions,3 50% wire and 4 Pre-FAT,,
3.6,WIRING,Power / AC control / DC digital / analogue in SEPARATE ducts,3 50% wire and 4 Pre-FAT,,
3.7,WIRING,"Door wiring in flexible loom, service loop, strain relief both ends",3 50% wire and 4 Pre-FAT,,
3.8,WIRING,"Terminations tight, torqued where specified",3 50% wire and 4 Pre-FAT,,
3.9,WIRING,Bootlace ferrules on stranded conductors,3 50% wire and 4 Pre-FAT,,
3.10,WIRING,Maximum 2 conductors per terminal and terminal rated for it,3 50% wire and 4 Pre-FAT,,
3.11,WIRING,Screens terminated per design (1 end instrument / 360 deg both ends VSD),3 50% wire and 4 Pre-FAT,,
3.12,WIRING,"No sharp edges against wiring, penetrations protected",3 50% wire and 4 Pre-FAT,,
3.13,WIRING,Adequate slack at terminals for re-termination,3 50% wire and 4 Pre-FAT,,
4.1,TERMINALS,"Rails as designed, in designed order",3 50% wire and 4 Pre-FAT,,
4.2,TERMINALS,Numbering matches termination schedule,3 50% wire and 4 Pre-FAT,,
4.3,TERMINALS,Partition plates fitted between voltage groups,3 50% wire and 4 Pre-FAT,,
4.4,TERMINALS,End brackets and end covers fitted,3 50% wire and 4 Pre-FAT,,
4.5,TERMINALS,"Marker strips printed FROM schedule, not hand-written",3 50% wire and 4 Pre-FAT,,
4.6,TERMINALS,"Spare terminals fitted, labelled SPARE, grouped",3 50% wire and 4 Pre-FAT,,
4.7,TERMINALS,Yellow terminals used for safety circuit ONLY,3 50% wire and 4 Pre-FAT,,
4.8,TERMINALS,Disconnect terminals on every analogue loop,3 50% wire and 4 Pre-FAT,,
4.9,TERMINALS,Field access adequate for gloved hand and screwdriver,3 50% wire and 4 Pre-FAT,,
5.1,LABELS,Every device labelled with drawing tag,4 Pre-FAT,,
5.2,LABELS,"Engraved traffolyte, mechanically fixed (not adhesive)",4 Pre-FAT,,
5.3,LABELS,Text matches drawings character for character,4 Pre-FAT,,
5.4,LABELS,Cubicle identification labels fitted,4 Pre-FAT,,
5.5,LABELS,"Warning labels: 415 V, MULTIPLE SUPPLIES, CT secondary",4 Pre-FAT,,
5.6,LABELS,Asset / rating nameplate fitted and correct,4 Pre-FAT,,
5.7,LABELS,Arc flash label holder fitted,4 Pre-FAT,,
6.1,EARTHING,Main earth bar continuous and correctly sized,3 50% wire and 4 Pre-FAT,,
6.2,EARTHING,Cubicle earth bars bonded to main bar,3 50% wire and 4 Pre-FAT,,
6.3,EARTHING,Every equipment-bearing door bonded with flexible strap,3 50% wire and 4 Pre-FAT,,
6.4,EARTHING,Gland plates bonded,3 50% wire and 4 Pre-FAT,,
6.5,EARTHING,All equipment earths present,3 50% wire and 4 Pre-FAT,,
6.6,EARTHING,PAINT REMOVED / serrated washers at EVERY bonding point,3 50% wire and 4 Pre-FAT,,
6.7,EARTHING,"Screen bar insulated, bonded at one point only",3 50% wire and 4 Pre-FAT,,
7.1,DOCUMENT CONTROL,Drawings on bench are CURRENT IFC revision,ALL four points,,
7.2,DOCUMENT CONTROL,Superseded drawings physically removed from workshop,ALL four points,,
7.3,DOCUMENT CONTROL,Workshop mark-ups captured for as-built,ALL four points,,
7.4,DOCUMENT CONTROL,Any changes have been through change control,ALL four points,,
8.1,GENERAL,"Board clean - no swarf, offcuts or tools inside",4 Pre-FAT,,
8.2,GENERAL,"Packing, transit restraints and desiccant identified for removal",4 Pre-FAT,,
8.3,GENERAL,"Spares and loose items bagged, labelled and listed",4 Pre-FAT,,
