Cable No.,From,To,Core,Terminal,Signal,Voltage,Drawing Reference
C-0001,TX-01 LV,MCC-01 X0,L1,X0:L1,Incoming active phase 1,415 V AC,SLD-0001
C-0001,TX-01 LV,MCC-01 X0,L2,X0:L2,Incoming active phase 2,415 V AC,SLD-0001
C-0001,TX-01 LV,MCC-01 X0,L3,X0:L3,Incoming active phase 3,415 V AC,SLD-0001
C-0001,TX-01 LV,MCC-01 X0,N,X0:N,Incoming neutral (full size),415 V AC,SLD-0001
C-0001,TX-01 LV,MCC-01 X0,E,XE:01,Incoming protective earth,-,SLD-0001
C-0101,MCC-01 VSD-101 output,P-101 motor,U,VSD-101 U,Motor phase U,415 V AC,SCH-0101/02
C-0101,MCC-01 VSD-101 output,P-101 motor,V,VSD-101 V,Motor phase V,415 V AC,SCH-0101/02
C-0101,MCC-01 VSD-101 output,P-101 motor,W,VSD-101 W,Motor phase W,415 V AC,SCH-0101/02
C-0101,MCC-01 VSD-101 output,P-101 motor,E,XE:11,Motor protective earth,-,SCH-0101/02
C-0101,MCC-01 VSD-101 output,P-101 motor,Screen,EMC gland,360 deg screen - EARTHED BOTH ENDS,-,SCH-0101/02
C-0111,MCC-01 VSD-102 output,P-102 motor,U,VSD-102 U,Motor phase U,415 V AC,SCH-0111/02
C-0111,MCC-01 VSD-102 output,P-102 motor,V,VSD-102 V,Motor phase V,415 V AC,SCH-0111/02
C-0111,MCC-01 VSD-102 output,P-102 motor,W,VSD-102 W,Motor phase W,415 V AC,SCH-0111/02
C-0111,MCC-01 VSD-102 output,P-102 motor,E,XE:12,Motor protective earth,-,SCH-0111/02
C-0111,MCC-01 VSD-102 output,P-102 motor,Screen,EMC gland,360 deg screen - EARTHED BOTH ENDS,-,SCH-0111/02
C-0121,MCC-01 X1,P-103 sump pump,L1,X1:001,Active phase 1,415 V AC,SCH-0121/02
C-0121,MCC-01 X1,P-103 sump pump,L2,X1:002,Active phase 2,415 V AC,SCH-0121/02
C-0121,MCC-01 X1,P-103 sump pump,L3,X1:003,Active phase 3,415 V AC,SCH-0121/02
C-0121,MCC-01 X1,P-103 sump pump,E,XE:21,Protective earth,-,SCH-0121/02
C-0131,MCC-01 X1,C-101 compressor,L1,X1:005,Active phase 1,415 V AC,SCH-0131/02
C-0131,MCC-01 X1,C-101 compressor,L2,X1:006,Active phase 2,415 V AC,SCH-0131/02
C-0131,MCC-01 X1,C-101 compressor,L3,X1:007,Active phase 3,415 V AC,SCH-0131/02
C-0131,MCC-01 X1,C-101 compressor,E,XE:25,Protective earth,-,SCH-0131/02
C-0141,MCC-01 X1,MOV-101 actuator,L1,X1:009,Active phase 1,415 V AC,SCH-0141/02
C-0141,MCC-01 X1,MOV-101 actuator,L2,X1:010,Active phase 2,415 V AC,SCH-0141/02
C-0141,MCC-01 X1,MOV-101 actuator,L3,X1:011,Active phase 3,415 V AC,SCH-0141/02
C-0141,MCC-01 X1,MOV-101 actuator,E,XE:29,Protective earth,-,SCH-0141/02
C-0501,MCC-01 X1,DB-01,L1,X1:013,Active phase 1,415 V AC,SLD-0001
C-0501,MCC-01 X1,DB-01,L2,X1:014,Active phase 2,415 V AC,SLD-0001
C-0501,MCC-01 X1,DB-01,L3,X1:015,Active phase 3,415 V AC,SLD-0001
C-0501,MCC-01 X1,DB-01,E,XE:33,Protective earth,-,SLD-0001
C-0502,MCC-01 X1,PKG-201 dosing skid,L1,X1:017,Active phase 1,415 V AC,SLD-0001
C-0502,MCC-01 X1,PKG-201 dosing skid,L2,X1:018,Active phase 2,415 V AC,SLD-0001
C-0502,MCC-01 X1,PKG-201 dosing skid,L3,X1:019,Active phase 3,415 V AC,SLD-0001
C-0502,MCC-01 X1,PKG-201 dosing skid,E,XE:37,Protective earth,-,SLD-0001
C-0503,MCC-01 X1,HVAC-01,L1,X1:021,Active phase 1,415 V AC,SLD-0001
C-0503,MCC-01 X1,HVAC-01,L2,X1:022,Active phase 2,415 V AC,SLD-0001
C-0503,MCC-01 X1,HVAC-01,L3,X1:023,Active phase 3,415 V AC,SLD-0001
C-0503,MCC-01 X1,HVAC-01,E,XE:41,Protective earth,-,SLD-0001
C-0102,LCS-101,MCC-01 X3,1,X3:001,LCS Start PB - 24 VDC supply out,24 V DC,SCH-0101/12
C-0102,LCS-101,MCC-01 X3,2,X3:002,LCS Start PB - return,24 V DC,SCH-0101/12
C-0102,LCS-101,MCC-01 X3,3,X3:003,LCS Stop PB - 24 VDC supply out,24 V DC,SCH-0101/13
C-0102,LCS-101,MCC-01 X3,4,X3:004,"LCS Stop PB - return (NC, fail-safe)",24 V DC,SCH-0101/13
C-0102,LCS-101,MCC-01 X3,5,X3:005,LCS selector - Local position,24 V DC,SCH-0201/04
C-0102,LCS-101,MCC-01 X3,6,X3:006,LCS selector - Remote position,24 V DC,SCH-0201/05
C-0102,LCS-101,MCC-01 X3,7,X3:007,LCS Running lamp - supply,24 V DC,SCH-0101/22
C-0102,LCS-101,MCC-01 X3,8,X3:008,LCS Running lamp - return,24 V DC,SCH-0101/22
C-0102,LCS-101,MCC-01 X3,9,X3:009,SPARE,-,-
C-0102,LCS-101,MCC-01 X3,10,X3:010,SPARE,-,-
C-0102,LCS-101,MCC-01 X3,11,X3:011,SPARE,-,-
C-0102,LCS-101,MCC-01 X3,12,X3:012,SPARE,-,-
C-0102,LCS-101,MCC-01 X3,13,X3:009a,SPARE,-,-
C-0102,LCS-101,MCC-01 X3,14,X3:010a,SPARE,-,-
C-0102,LCS-101,MCC-01 X3,15,X3:011a,SPARE,-,-
C-0102,LCS-101,MCC-01 X3,16,X3:012a,SPARE,-,-
C-0102,LCS-101,MCC-01 X3,Screen,XS:01,Overall screen - MCC END ONLY,-,SCH-0101
C-0103,P-101 motor TB,MCC-01 X3,1,X3:013,PTC thermistor leg 1 to KT101,ELV,SCH-0101/08
C-0103,P-101 motor TB,MCC-01 X3,2,X3:014,PTC thermistor leg 2 to KT101,ELV,SCH-0101/08
C-0103,P-101 motor TB,MCC-01 X3,Screen,XS:02,Screen - MCC END ONLY,-,SCH-0101
C-0104,B101-SEAL,MCC-01 X3,1,X3:015,Seal water flow switch - 24 VDC out,24 V DC,SCH-0201/08
C-0104,B101-SEAL,MCC-01 X3,2,X3:016,Seal water flow switch - return (NC),24 V DC,SCH-0201/08
C-0104,B101-SEAL,MCC-01 X3,Screen,XS:03,Screen - MCC END ONLY,-,SCH-0201
-,VSD-101 / MCC internal,MCC-01 X3,-,X3:017,"VSD-101 drive healthy to PLC DI (NC, fail-safe)",24 V DC,SCH-0201/02
-,VSD-101 / MCC internal,MCC-01 X3,-,X3:018,VSD-101 drive running to PLC DI,24 V DC,SCH-0201/03
-,VSD-101 / MCC internal,MCC-01 X3,-,X3:019,KA101 run command to VSD-101 term 18,24 V DC,SCH-0101/18
-,VSD-101 / MCC internal,MCC-01 X3,-,X3:020,Q11 auxiliary - feeder available to PLC DI,24 V DC,SCH-0201/01
-,VSD-101 / MCC internal,MCC-01 X3,-,X3:023,PLC DO - VSD-101 fault reset,24 V DC,SCH-0202/02
-,VSD-101 / MCC internal,MCC-01 X3,-,X3:024,PLC DO - VSD-101 remote reference enable,24 V DC,SCH-0202/13
C-0210,LSLL-101,MCC-01 X3,1,X3:021,Low-low float - 24 VDC out,24 V DC,SCH-0101/09
C-0210,LSLL-101,MCC-01 X3,2,X3:022,"Low-low float - return (NC, HARDWIRED DRY-RUN TRIP)",24 V DC,SCH-0101/09
C-0210,LSLL-101,MCC-01 X3,Screen,XS:04,Screen - MCC END ONLY,-,SCH-0101
-,-,-,-,X3:025,SPARE,-,-
-,-,-,-,X3:026,SPARE,-,-
-,-,-,-,X3:027,SPARE,-,-
-,-,-,-,X3:028,SPARE,-,-
-,-,-,-,X3:029,SPARE,-,-
-,-,-,-,X3:030,SPARE,-,-
C-0112,LCS-102,MCC-01 X3,1,X3:031,LCS Start PB - 24 VDC supply out,24 V DC,SCH-0111/12
C-0112,LCS-102,MCC-01 X3,2,X3:032,LCS Start PB - return,24 V DC,SCH-0111/12
C-0112,LCS-102,MCC-01 X3,3,X3:033,LCS Stop PB - 24 VDC supply out,24 V DC,SCH-0111/13
C-0112,LCS-102,MCC-01 X3,4,X3:034,"LCS Stop PB - return (NC, fail-safe)",24 V DC,SCH-0111/13
C-0112,LCS-102,MCC-01 X3,5,X3:035,LCS selector - Local position,24 V DC,SCH-0201/11
C-0112,LCS-102,MCC-01 X3,6,X3:036,LCS selector - Remote position,24 V DC,SCH-0201/12
C-0112,LCS-102,MCC-01 X3,7,X3:037,LCS Running lamp - supply,24 V DC,SCH-0111/22
C-0112,LCS-102,MCC-01 X3,8,X3:038,LCS Running lamp - return,24 V DC,SCH-0111/22
C-0112,LCS-102,MCC-01 X3,9-16,X3:039-042,SPARE (8 cores),-,-
C-0112,LCS-102,MCC-01 X3,Screen,XS:05,Overall screen - MCC END ONLY,-,SCH-0111
C-0113,P-102 motor TB,MCC-01 X3,1,X3:043,PTC thermistor leg 1 to KT102,ELV,SCH-0111/08
C-0113,P-102 motor TB,MCC-01 X3,2,X3:044,PTC thermistor leg 2 to KT102,ELV,SCH-0111/08
C-0113,P-102 motor TB,MCC-01 X3,Screen,XS:06,Screen - MCC END ONLY,-,SCH-0111
C-0114,B102-SEAL,MCC-01 X3,1,X3:045,Seal water flow switch - 24 VDC out,24 V DC,SCH-0201/15
