ID,Issue,Technical Question,Impact,Proposed Resolution,Priority,Status,Target
TQ-001,Continuous cooling not addressed,Is a 60-120 s cooling interruption on utility failure acceptable for the data hall thermal profile? If not is the solution UPS-backed CHW pumps and CRAH fans thermal storage in the CHW loop or both?,HIGH - determines whether CRAH fans and CHW pumps move onto the UPS which adds ~305 kW to UPS load and changes UPS sizing from 2500 kW to ~2900 kW per path,Thermal transient analysis of the data hall at 2000 kW with zero airflow; if unacceptable add UPS-backed CRAH fans and secondary CHW pumps and resize UPS,HIGH,Open,Week 4
TQ-002,Transformer impedance assumed,What is the actual impedance of the selected 2500 kVA cast resin transformer and its tolerance band?,Directly sets prospective fault current currently estimated at 58 kA and therefore the switchboard Icw rating,Obtain vendor technical data sheets for 2-3 candidate units,HIGH,Open,Week 3
TQ-003,CHW ring main sectionalising,Does the chilled water ring main have sectionalising valves permitting a section to be isolated while maintaining flow to all CRAHs?,If not the CHW ring is a mechanical common-mode failure defeating N+1 cooling,Mechanical interface query; require sectionalising valves in the mechanical specification,MEDIUM,Open,Week 5
TQ-004,Fault level study not performed,What is the actual prospective fault current at MSB-A/MSB-B including utility source impedance transformer impedance motor contribution and generator contribution?,Switchboard Icw rating of 65 kA is currently a judgement not a calculated result,Formal fault level study using ETAP PowerFactory or SKM - outside project scope; document as a limitation,HIGH,Open,Week 6
TQ-005,Design ambient and chiller COP,What is the correct design-day dry bulb temperature for the assumed location and what is the actual chiller COP at that condition?,Changes the 780 kW chiller electrical load which flows through to generator and transformer sizing,Obtain AIRAH or ASHRAE design day data and vendor chiller selection output at that condition,HIGH,Open,Week 3
TQ-006,Single-corded load proportion,What proportion of the IT load is single-corded and what is its distribution across racks?,Determines STS quantity and the size of the one genuine gap in the 2N architecture,Requires an IT equipment schedule; assume 5% and flag as a design risk with a stated allowance for growth,HIGH,Open,Week 5
TQ-007,Utility supply availability,Are two independent 11 kV feeders from separate zone substations actually available at 5 MVA each and what are the network fault levels and protection requirements?,If only one feeder is available the utility becomes a documented single point of failure and the generator strategy must change,Formal supply application to the DNSP - outside project scope; document as an assumption,HIGH,Open,Week 3
TQ-008,Load shedding hierarchy undefined,What is the automatic load shedding hierarchy and its trigger logic for the double-contingency overload cases identified in the BoD?,Without it the documented overload scenarios have no mitigation,Develop a load shedding schedule in Week 6 with the controls philosophy; sequence non-essential boards then mechanical N+1 standby then mechanical setpoint relaxation,MEDIUM,Open,Week 6
TQ-009,Generator loading strategy,How is wet stacking avoided given both sets per path run at only 36% in normal split operation on generator?,Engine health and long-term reliability,Run one set per path for normal split load and auto-start the second on demand or for path takeover; define in the controls philosophy and provide load bank connections,MEDIUM,Open,Week 3
TQ-010,Generator fuel consumption assumed,What is the actual specific fuel consumption of the selected 2400 kW set across the load range?,Changes bulk fuel tank volume currently 2 x 25000 L,Obtain vendor fuel consumption curves,LOW,Open,Week 3
TQ-011,UPS frame rating at design limit,Should the UPS be 2 x 1500 kW frames per path (3000 kW per path 67% single-path loading) rather than 2 x 1250 kW (2500 kW per path 80% loading)?,80% leaves no headroom for load growth or measurement error at the worst-case condition,Design review decision; note that TQ-001 may force an increase anyway if CRAH fans move onto UPS,MEDIUM,Open,30% review
TQ-012,Lithium battery room requirements,What are the fire detection suppression ventilation and thermal runaway containment requirements for a 480 kWh LFP battery room?,Safety-critical and may affect room sizing and location,Requires specialist fire engineering input and standards verification - outside project scope; document as a limitation,HIGH,Open,Week 4
TQ-013,Rack PDU rating error,8 kW at 240 V is 33.3 A which exceeds a 32 A single-phase rack PDU. Confirm standardisation on 32 A 3-phase.,Sizing error caught in Week 1; affects 500 rack PDUs,Adopt DDR-013 - standardise on 32 A 3-phase rack PDUs throughout,CLOSED,Resolved by DDR-013,Week 1
TQ-014,Retransfer stable time,How long must the utility be proven stable before automatic retransfer from generator?,Operational only; too short risks repeated transfers on an unstable network,Assume 5 minutes; confirm against DNSP network reliability data and operator preference,LOW,Open,Week 3
TQ-015,DC control supply sizing,What is the required Ah capacity and autonomy of the per-path 110 V DC control supply and does it support a full black start sequence?,Black start capability - a circular dependency here would prevent facility recovery from total shutdown,Develop DC load schedule and verify against black start sequence in Week 4 operating scenario 15,MEDIUM,Open,Week 4
