Test No.,Section,Test Description,Expected Result,Actual Result,Pass/Fail,Comments
A-01,A Documentation,"Drawing register complete, all drawings at listed revision",All present at Rev 1,All present at Rev 1,Pass,
A-02,A Documentation,"BOM at current revision, reconciled against drawings",BOM Rev D reconciled,Reconciled,Pass,
A-03,A Documentation,Approved FAT procedure signed,Signed by client,Signed,Pass,
A-04,A Documentation,Equipment data sheets and test certificates available,All available,All available,Pass,
A-05,A Documentation,Manufacturer AS/NZS 61439 design verification evidence available,Documentation provided,Provided,Pass,Filed in MDR Section 6.1
A-06,A Documentation,"Calibration certificates for all test equipment, current",All current,All current,Pass,
A-07,A Documentation,PLC program version recorded,Version recorded,Recorded,Pass,
A-08,A Documentation,Outstanding items and deviations declared,Declared at FAT opening,Declared,Pass,Coordination study outstanding - declared up front
B-09,B Visual inspection,"Enclosure undamaged, paint finish acceptable",No damage,No damage,Pass,
B-10,B Visual inspection,Form of separation as specified (Form 3b),Form 3b verified,Verified,Pass,
B-11,B Visual inspection,Equipment layout matches approved general arrangement,Matches GA Rev 1,Matches,Pass,
B-12,B Visual inspection,All devices present and match BOM part numbers (labels physically read),Match BOM Rev D,1 discrepancy,FAIL,FD-002 KM103 240 V AC coil supplied instead of 24 V DC
B-13,B Visual inspection,"Labelling complete, engraved, mechanically fixed, matching drawings",All correct,3 discrepancies,FAIL,FD-006
B-14,B Visual inspection,Warning labels fitted including multiple supplies,All fitted,Multiple-supplies label missing,FAIL,FD-006c
B-15,B Visual inspection,Asset / rating nameplate fitted and correct,Correct,Correct,Pass,
B-16,B Visual inspection,"Board internally clean - no swarf, offcuts, packaging or tools",Clean,Clean,Pass,
B-17,B Visual inspection,"Wiring workmanship - routing, duct fill, ferruling, consistency",Acceptable,Acceptable,Pass,Ferrule orientation corrected at 50% inspection
B-18,B Visual inspection,"Door wiring looms, service loops and strain relief",Correct,Correct,Pass,
C-19,C Mechanical inspection,"Doors open, close and latch. Door interlocks operate",All correct,All correct,Pass,
C-20,C Mechanical inspection,Every isolating handle operates and padlocks in the off position,All operate and lock,All operate and lock,Pass,
C-21,C Mechanical inspection,Door interlock defeat mechanism operates and resets,Operates,Operates,Pass,
C-22,C Mechanical inspection,Removable items withdraw and re-insert correctly,Correct,Correct,Pass,
C-23,C Mechanical inspection,"Gland plates removable, fixings complete",Correct,Correct,Pass,
C-24,C Mechanical inspection,Gaskets intact and continuous,Intact,Intact,Pass,
C-25,C Mechanical inspection,Lifting provisions secure and marked,Secure and marked,Secure and marked,Pass,
C-26,C Mechanical inspection,"Terminal rails secure, end brackets fitted",Correct,Correct,Pass,
D-27,D Wiring verification,Point-to-point check of every internal wire against schematics (by a person other than the wireman),All correct,1 discrepancy,FAIL,FD-001 KT101 wired to NO contact instead of NC
D-28,D Wiring verification,Wire numbers verified at both ends against drawings,All correct,All correct,Pass,
D-29,D Wiring verification,Terminal allocation verified against termination schedule,All correct,All correct,Pass,
D-30,D Wiring verification,"Terminations tight - sample torque check, sample size recorded",Within spec,Within spec,Pass,"20% sample, all within manufacturer torque"
D-31,D Wiring verification,Conductor sizes per drawing,Correct,Correct,Pass,
D-32,D Wiring verification,Colour convention verified including orange for external supplies,Correct,Correct,Pass,
D-33,D Wiring verification,Maximum two conductors per terminal confirmed,Confirmed,Confirmed,Pass,
E-34,E Continuity and earth,"Earth continuity, main earth bar to each cubicle earth bar, door, gland plate and equipment earth","Within client criterion, each reading recorded",All within criterion,Pass,Individual readings on attached sheet - not 'all satisfactory'
E-35,E Continuity and earth,"Instrument screen bar insulated from enclosure, bonded at ONE point only",> 1 Mohm to enclosure,0 ohm,FAIL,FD-003 - mounting screw through to mounting plate
E-36,E Continuity and earth,Continuity of every control circuit per schematic,All continuous,All continuous,Pass,
E-37,E Continuity and earth,Continuity from every field terminal to destination device,All continuous,All continuous,Pass,
E-38,E Continuity and earth,Phase continuity and identification through busbar to every feeder,Correct,Correct,Pass,
F-39,F Insulation resistance,"ALL electronic equipment disconnected before IR test, per disconnection list, signed",Complete and signed,Complete and signed,Pass,"Drives, PLC, PSUs, UPS, SPD, meter, electronic trip units"
F-40,F Insulation resistance,"IR test power circuits - ph-ph, ph-N, ph-E, N-E","Per client criterion, readings recorded",All within criterion,Pass,Individual readings recorded
F-41,F Insulation resistance,IR test control circuits (electronics disconnected),Per client criterion,Within criterion,Pass,
F-42,F Insulation resistance,Every reading recorded individually,All recorded,All recorded,Pass,
F-43,F Insulation resistance,All disconnected equipment reconnected and verified - SIGNED step,Signed reconnection check,Complete and signed,Pass,
G-44,G Control power,"Energise 240 V AC supply, verify voltage",Within tolerance,Within tolerance,Pass,
G-45,G Control power,"Verify UPS operation, on-line status and status contacts",Correct,Correct,Pass,
G-46,G Control power,"Energise PSU-1 with PSU-2 isolated, verify 24 V DC bus",Bus healthy,Bus healthy,Pass,
G-47,G Control power,"Energise PSU-2 with PSU-1 isolated, verify 24 V DC bus",Bus healthy,Bus healthy,Pass,
G-48,G Control power,"Both energised, verify redundancy module operation",Correct,Correct,Pass,
G-49,G Control power,"Fail PSU-1 under load - no interruption to bus, alarm raised","Bus holds, alarm at SCADA","Bus holds, alarm at SCADA",Pass,
G-49b,G Control power,"Fail PSU-2 under load - no interruption to bus, alarm raised","Bus holds, alarm at SCADA","Bus holds, alarm at SCADA",Pass,
G-50,G Control power,Verify each ECP group live and correctly allocated,Correct allocation,Correct,Pass,"Switch confirmed on ECP1 network group, not field I/O - DR-004"
G-51,G Control power,"Trip one ECP group - only that group affected, status alarm raised","Group isolated, alarm raised",Correct,Pass,
G-52,G Control power,"Verify PLC powers up, no faults, correct program version","No faults, version correct",Correct,Pass,
G-53,G Control power,Verify network switch and all network devices reachable,All reachable,All reachable,Pass,
H-54,H Functional testing,Lamp test - every indicator operates,All operate,All operate,Pass,
H-55,H Functional testing,"Selector positions produce correct mode, PLC reads correct combination",Correct for all feeders,Correct,Pass,Both Local and Remote DIs read - Off detectable
H-56,H Functional testing,Start and stop from MCC pushbuttons in Local,Correct,Correct,Pass,
H-57,H Functional testing,Start and stop from local control station in Local,Correct,Correct,Pass,
H-58,H Functional testing,Start and stop from PLC / SCADA in Remote,Correct,Correct,Pass,
H-59,H Functional testing,Local commands ignored in Remote and vice versa,Ignored,Ignored,Pass,
H-60,H Functional testing,"Off position prevents all operation, PLC reports feeder unavailable",Correct,Correct,Pass,
H-61,H Functional testing,"Running, fault and available indication at MCC and at LCS",Correct,Correct,Pass,
H-62,H Functional testing,"DOL contactor pull-in and drop-out verified by CONTACTOR AUXILIARY, not PLC output",Aux confirms operation,Correct,Pass,
H-63,H Functional testing,"Discrepancy alarms - commanded-but-not-running, running-but-not-commanded",Both operate,Both operate,Pass,
H-64,H Functional testing,Duty rotation logic - changeover on run hours,Correct,Correct,Pass,
H-65,H Functional testing,Duty / standby changeover on simulated duty pump fault,Correct,Correct,Pass,
I-66a,I Interlocks and permissives,"Remove thermistor permissive - start blocked, correct reason reported","Blocked, correct reason","Blocked, reason INCORRECT",FAIL,FD-004 alarm descriptions transposed
I-66b,I Interlocks and permissives,"Remove drive healthy permissive - start blocked, correct reason","Blocked, correct reason",Correct,Pass,
I-66c,I Interlocks and permissives,"Remove low-low float permissive - start blocked, correct reason","Blocked, correct reason",Correct,Pass,
I-66d,I Interlocks and permissives,"Remove seal water permissive - start blocked, correct reason","Blocked, correct reason",Correct,Pass,
