Activity ID,Activity Name,WBS,Activity Type,Original Duration (d),Calendar,Predecessors,Constraint Type,Constraint Date
BA1000,Contract Award,Milestones,Start Milestone,0,FACTORY-5D,,,
BA1010,Project Kick-off,Project Management,Task Dependent,1,FACTORY-5D,BA1000,,
BA1020,Project Management and Reporting,Project Management,Task Dependent,120,FACTORY-5D,BA1010,,
BA1030,Review Specification,Engineering,Task Dependent,4,FACTORY-5D,BA1010,,
BA1040,Develop Single Line Diagram,Engineering,Task Dependent,10,FACTORY-5D,BA1030,,
BA1050,Internal Design Review,Engineering,Task Dependent,2,FACTORY-5D,BA1040,,
BA1060,Issue SLD for Client Approval,Engineering,Task Dependent,1,FACTORY-5D,"BA1040,BA1050",,
BA1070,Client Approval - SLD,Engineering,Task Dependent,5,FACTORY-5D,BA1060FS+45,,
BA1080,Develop GA Drawings,Engineering,Task Dependent,12,FACTORY-5D,BA1070,,
BA1090,Develop Schematics,Engineering,Task Dependent,15,FACTORY-5D,BA1080SS+3,,
BA1100,Issue Shop Drawings,Engineering,Task Dependent,2,FACTORY-5D,BA1090,,
BA1110,Client Approval - Shop Drawings,Engineering,Task Dependent,10,FACTORY-5D,BA1100,,
BA1120,Design Sign-off,Engineering,Task Dependent,0,FACTORY-5D,BA1110,,
BA1130,Bill of Materials,Engineering,Task Dependent,5,FACTORY-5D,BA1080,,
BA1140,Order Long Lead Equipment,Procurement,Task Dependent,2,FACTORY-5D,"BA1120,BA1130",,
BA1150,Manufacture and Delivery - ACBs,Procurement,Task Dependent,120,FACTORY-5D,BA1140,,
BA1160,Delivery - MCCBs and Devices,Procurement,Task Dependent,45,CAL-7D,BA1140,,
BA1170,Delivery - Copper Busbar,Procurement,Task Dependent,35,CAL-7D,BA1140,,
BA1180,Delivery - Enclosures,Procurement,Task Dependent,50,CAL-7D,BA1140,,
BA1190,Goods Inward Inspection,Manufacture,Task Dependent,2,FACTORY-5D,BA1180,,
BA1200,Erect and Join Cubicles,Manufacture,Task Dependent,7,FACTORY-5D,BA1190,,
BA1210,Install Earth Bar,Manufacture,Task Dependent,3,FACTORY-5D,BA1200,,
BA1220,Machine and Install Busbar,Manufacture,Task Dependent,10,FACTORY-5D,"BA1170,BA1200,BA1210",,
BA1230,Busbar Torque and Inspection,Manufacture,Task Dependent,2,FACTORY-5D,BA1220,,
BA1240,Install ACB Cassettes,Manufacture,Task Dependent,4,FACTORY-5D,"BA1150,BA1230",,
BA1250,Install MCCB Chassis and Devices,Manufacture,Task Dependent,6,FACTORY-5D,"BA1160,BA1220",,
BA1260,Internal Wiring - Power,Manufacture,Task Dependent,10,FACTORY-5D,"BA1240FS-10,BA1250",,
BA1270,Internal Wiring - Control,Manufacture,Task Dependent,12,FACTORY-5D,BA1260SS+3,,
BA1280,Labelling and Warning Signage,Manufacture,Task Dependent,4,FACTORY-5D,BA1270,,
BA1290,QA Inspection,Test & Release,Task Dependent,3,FACTORY-5D,BA1270,,
BA1300,Works Testing,Test & Release,Task Dependent,8,FACTORY-5D,BA1290,,
BA1310,Factory Acceptance Test,Test & Release,Task Dependent,3,FACTORY-5D,BA1300,Mandatory Finish,14-Nov-25
BA1320,Client Defect List Issued,Test & Release,Task Dependent,1,FACTORY-5D,BA1310,,
BA1330,Rectify FAT Defects,Test & Release,Task Dependent,5,FACTORY-5D,BA1310SS,,
BA1340,FAT Re-test and Sign-off,Test & Release,Task Dependent,2,FACTORY-5D,BA1330,,
BA1350,Pack and Crate,Logistics,Task Dependent,3,FACTORY-5D,BA1340,,
BA1360,Transport to Site,Logistics,Task Dependent,2,FACTORY-5D,BA1350,,
BA1370,Offload and Set to Position,Site Installation,Task Dependent,3,FACTORY-5D,BA1360,,
BA1380,Re-join Splits and Busbar,Site Installation,Task Dependent,5,SITE-6D,BA1370,,
BA1390,Pull LV Power Cables,Site Installation,Task Dependent,10,SITE-6D,,,
BA1400,Glanding and Terminations,Site Installation,Task Dependent,12,SITE-6D,"BA1380,BA1390",,
BA1410,Site QA and Snag,Site Installation,Task Dependent,3,SITE-6D,BA1400SF,,
BA1420,Pre-Energisation Testing,Commissioning,Task Dependent,6,SITE-6D,BA1410,,
BA1430,Energisation,Commissioning,Task Dependent,1,SITE-6D,,Start On,02-Feb-26
BA1440,Load Testing,Commissioning,Task Dependent,4,SITE-6D,BA1430,,
BA1450,O&M Manuals and As-Builts,Commissioning,Task Dependent,10,FACTORY-5D,BA1400,,
BA1460,Practical Completion,Milestones,Finish Milestone,0,SITE-6D,"BA1440,BA1450",Finish On or Before,20-Feb-26
