Item,Category,Description,Manufacturer,Part Number,Qty,Rating,Drawing Reference,Lead Time,Status,Notes
A01,Enclosure,"MCC enclosure, floor standing, Form 3b, 5 cubicles, 2300H x 3000W x 600D",Panel builder (custom),Per NFD-ELE-GA-0020,1,IP42 indoor,GA-0020,8 wks fab,HOLD,Cable entry direction blocked release (TQ-001). AS/NZS 61439.1 design verification evidence required for MDR. Rev 1: drive cubicles enlarged - CR-001
A02,Enclosure,"Gland plate, removable, undrilled, aluminium, 600 x 400",Panel builder,Per GA-0020,5,-,GA-0020,With A01,HOLD,Non-magnetic. Bonded to cubicle earth. UNDRILLED - saved rework at CR-001
A03,Enclosure,"Plinth, 100 mm, galvanised",Panel builder,Per GA-0020,1 set,-,GA-0020,With A01,HOLD,Confirm against civil plinth
A04,Enclosure,"Cubicle internal lighting, LED, with door switch",Rittal,SZ 2500.100,5,240 V AC,SCH-0030/22,3 wks,OK,
A05,Enclosure,"GPO, double, 10 A, DIN mount",Clipsal,56 series equiv. DIN,2,240 V AC,SCH-0030/24,2 wks,OK,For laptop at FAT and site
A06,Enclosure,"Anti-condensation heater, 50 W, with guard",Rittal,SK 3105.340,5,240 V AC,SCH-0030/26,3 wks,OK,Heat source - include in thermal declaration
A07,Enclosure,"Hygrostat, DIN mount",Rittal,SK 3118.000,2,-,SCH-0030/26,3 wks,OK,
A08,Enclosure,"Door earth bonding strap, flexible, 4 mm2, 300 mm",Generic,-,12,-,GA-0020,1 wk,OK,Every door carrying equipment - hinges are not an earth path
A09,Enclosure,"Main earth bar, tinned copper, 50 x 6, full board length",Panel builder,-,1,-,SLD-0001,With A01,HOLD,
A10,Enclosure,"Instrument screen earth bar, insulated, 25 x 3",Panel builder,-,1,-,TRM-0401,With A01,HOLD,SINGLE-POINT bonded to A09 - see FD-003
A11,Enclosure,"Busbar system, 800 A, 3P + full N, supports and shrouding",Panel builder,Per GA-0020,1 set,"800 A, Icw TBC",SLD-0001,With A01,HOLD,Icw cannot be finalised until fault level confirmed (TQ-002). FULL-SIZE neutral for triplen harmonics
A12,Enclosure,Escutcheon / blanking panels for spare chassis space,Panel builder,-,1 set,-,GA-0020,With A01,HOLD,
B01,Incomer,"Main circuit breaker, MCCB, 4-pole, electronic trip unit",Schneider Electric,ComPacT NSX630N + MicroLogic 2.3,1,"630 A, Icu 50 kA @ 415 V",SLD-0001,8-10 wks,HOLD,Icu provisional against 25 kA assumption (TQ-002). Settings from coordination study - not available
B02,Incomer,"Rotary handle, door-interlocked, lockable off, extended",Schneider Electric,ComPacT rotary handle kit,1,-,GA-0020,With B01,HOLD,
B03,Incomer,Auxiliary contact kit - OF (status) + SD (trip indication),Schneider Electric,ComPacT aux kit,1 set,-,SCH-0202/02,With B01,HOLD,Status and trip are DIFFERENT alarms
B04,Incomer,"Current transformer, 600/5 A, metering class",Schneider Electric,METSECT5MB060,3,"600/5, Cl. 0.5",SLD-0001,6 wks,TBC,Class and burden to be verified against meter + lead length. Confirm if revenue-grade metering required
B05,Incomer,"Power meter, EtherNet/IP",Schneider Electric,PowerLogic PM5560 (METSEPM5560),1,-,SLD-0001,6 wks,OK,"Energy, PQ logging, harmonic indication"
B06,Incomer,"Surge protective device, Type 1+2",Schneider Electric,Acti9 iPRD1 25r,1,3P+N,SLD-0001,4 wks,OK,Status contact to PLC. Connecting lead length critical to performance
B07,Incomer,"SPD protective device, 3P+N",Schneider Electric,Acti9 iC60 (rating per SPD manual),1,Per B06 manual,SLD-0001,4 wks,TBC,"Rating MUST come from SPD manual, not guessed"
B08,Incomer,Phase failure / phase sequence relay,Schneider Electric,Zelio RM35TF30,1,415 V,SCH-0202/04,4 wks,OK,"Permissive + alarm, not a trip"
