ID,Decision,Options considered,Selected option,Justification,Rejected because,Status,Review
DDR-001,Cooling architecture,Air-cooled chillers / Water-cooled chillers with towers / DX CRAC / Direct-to-chip liquid,Air-cooled chillers with primary-secondary CHW and CRAH,Removes water treatment legionella and makeup water dependency; fewer critical utilities,Water-cooled gives better COP and PUE but adds a critical water dependency; DX unrealistic at 2 MW; liquid cooling not required at 8 kW/rack,Approved,Contest at 30%
DDR-002,Mechanical redundancy level,N / N+1 / 2N,N+1,Cooling has thermal inertia so instantaneous redundancy is not required; N+1 permits plant maintenance,2N mechanical is disproportionate cost for the availability gain,Approved,30%
DDR-003,LV earthing system,MEN / TN-S separate / IT,MEN per AS/NZS 3000,Standard Australian practice,Non-standard arrangements add complexity without benefit,Approved,90%
DDR-004,UPS redundancy level,2N / 2(N+1) / distributed redundant,2(N+1) - 2 paths x 2 frames x 6 modules,Retains single-fault tolerance during UPS maintenance windows which can last days,Plain 2N leaves the facility with zero redundancy during a UPS overhaul,Approved,60%
DDR-005,Transformer type,Cast resin dry-type / oil-filled,Cast resin dry-type indoor,No oil containment or bunding; better fire risk profile for indoor DC application; lower maintenance,Oil-filled is cheaper and more efficient but requires containment and has a higher fire consequence,Approved,60%
DDR-006,Generator redundancy level,N per path (2N facility) / N+1 per path (2(N+1) facility),N per path - 2 sets per path 4 total,Path redundancy already provides a second layer; marginal availability gain of 2(N+1) does not justify 2 extra 2400 kW sets with fuel acoustics and emissions approvals,2(N+1) generators judged disproportionate,Approved,Contest at 30%
DDR-007,Maximum single-path equipment loading,70% / 80% / 90%,80%,Conventional design limit balancing capital cost against thermal headroom,90% leaves no margin for load growth or measurement error; 70% materially increases capital,Approved,60%
DDR-008,STS strategy for single-corded loads,Facility-level STS / Rack-level STS-ATS PDU / No provision,Rack-level STS-ATS units,Distributes the exposure so one unit failure affects one rack rather than all single-corded load,A single facility-level STS concentrates all single-corded load behind one device with no bypass,Approved,60%
DDR-009,UPS battery autonomy,5 min / 10 min / 15 min,10 minutes at full path load,Generator start needs only ~15 s; the 10 minutes exists to allow operator diagnosis of a failed start and a controlled IT shutdown if needed,5 min leaves no diagnostic window; 15 min adds cost and battery room area for little further benefit,Approved,60%
DDR-010,Generator fuel autonomy,24 h / 48 h / 72 h,48 hours at full facility load,Covers a weekend utility outage without a fuel delivery; consistent with Australian metro practice,24 h is tight over a long weekend; 72 h materially increases tank size and site area,Approved,60%
DDR-011,LV bus coupler normal state,Normally closed / Normally open,Normally open,Holds prospective fault current at 58 kA rather than 116 kA keeping switchboards in a standard class and reducing arc flash energy; also prevents a busbar fault taking both transformers,Normally closed would parallel the transformers creating a single bus and destroying path independence,Approved,60%
DDR-012,Battery chemistry,VRLA / LFP lithium-ion / NMC lithium-ion,LFP lithium-ion,Higher energy density smaller footprint longer life better thermal stability than NMC,VRLA has larger footprint and shorter life; NMC has a worse thermal runaway profile,Approved - fire engineering input required,60%
DDR-013,Rack PDU standardisation,32 A 1-phase / 32 A 3-phase / mixed by rack type,32 A 3-phase throughout,8 kW at 240 V is 33.3 A which exceeds a 32 A single-phase device; 3-phase 32 A gives 22 kW covering standard and high-density racks and simplifies procurement and spares,Single-phase 32 A is inadequate; mixed types complicate spares and moves-adds-changes,Approved,60%
DDR-014,UPS topology,2N discrete / Distributed redundant (catcher),2N discrete,Simpler to operate commission and explain; a topology the operations team can fully understand,Distributed redundant is cheaper at scale but the switching and control complexity is not justified at 2 MW,Approved,60%
DDR-015,Utility retransfer method,Open transition / Closed transition,UNRESOLVED,Closed transition avoids a UPS battery discharge on every retransfer but requires synchronising to the utility with DNSP network protection implications,Pending,Open,Resolve Week 3
